platform,category,product_name,selling_price,original_price,discount_percentage,rating,rating_count,review_count,seller_name,seller_type,delivery_info,delivery_days,free_delivery,is_sponsored,promotional_badges,promotional_badge_count,scarcity_message,has_scarcity_message,has_coupon,coupon_text,return_policy,has_return_policy,product_url
Flipkart,electronics,"Ai+ Nova 2 5G (Blue, 128 GB)",12600.0,14999.0,16.0,4.1,5170,387,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-blue-128-gb/p/itm149ae9e602599
Flipkart,electronics,"Samsung Galaxy F07 (Green, 64 GB)",9300.0,11999.0,22.5,4.2,10294,739,,Third-party,,3,False,False,Bestseller,1,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-f07-green-64-gb/p/itm294cbb65839e6
Flipkart,electronics,"REDMI A7 Pro 5G (Black, 64 GB)",11750.0,15999.0,9.0,4.0,3789,320,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/redmi-a7-pro-5g-black-64-gb/p/itm88c66032a6b5e
Flipkart,electronics,"realme Narzo 80 Lite (Obsidian Black, 64 GB)",9650.0,16999.0,21.0,4.2,3338,177,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/realme-narzo-80-lite-obsidian-black-64-gb/p/itmda40eecbc001f
Flipkart,electronics,"Ai+ Nova 2 5G (Black, 128 GB)",12600.0,14999.0,16.0,4.1,5170,387,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-black-128-gb/p/itmd97f4dfbfca5c
Flipkart,electronics,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",11750.0,13999.0,16.1,4.2,47948,3562,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-f06-5g-lit-violet-128-gb/p/itm140da3412b73b
Flipkart,electronics,"Ai+ Pulse 2 (Blue, 128 GB)",9300.0,11999.0,22.5,3.7,9275,879,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-blue-128-gb/p/itmd59202944d081
Flipkart,electronics,"Samsung Galaxy M06 5G (Blazing Black, 64 GB)",11750.0,14999.0,3.0,4.1,1741,129,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-m06-5g-blazing-black-64-gb/p/itm0c7e356cd6ad6
Flipkart,electronics,"Ai+ Nova 2 5G (Blue, 128 GB)",11750.0,17499.0,17.0,4.3,6556,352,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-blue-128-gb/p/itmb8204f6c4e198
Flipkart,electronics,"Samsung M06 5G (Sage Green, 128 GB)",12600.0,16999.0,11.0,4.1,5961,412,,Third-party,,3,False,False,,0,Only 1 Left,True,False,,7 days replacement,True,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c
Flipkart,electronics,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",12600.0,16999.0,25.9,4.2,47948,3562,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm58189fada62cb
Flipkart,electronics,"Ai+ Pulse 2 (Black, 128 GB)",9300.0,11999.0,22.5,3.7,9275,879,,Third-party,,3,False,False,,0,Only 1 Left,True,False,,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-black-128-gb/p/itm2bd64c011e879
Flipkart,electronics,"Ai+ Pulse 2 (Black, 128 GB)",8850.0,15499.0,25.0,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-black-128-gb/p/itm982c299d0417e
Flipkart,electronics,"Ai+ Nova 2 5G (Purple, 64 GB)",11750.0,13999.0,16.1,4.3,6556,352,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-purple-64-gb/p/itm07c0f38f44c5c
Flipkart,electronics,"Ai+ Nova 2 5G (Purple, 128 GB)",11750.0,17499.0,17.0,4.3,6556,352,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-purple-128-gb/p/itmc486f9ebd15e3
Flipkart,electronics,"realme Narzo 80 Lite (Beach Gold, 64 GB)",9700.0,16999.0,21.0,4.2,3338,177,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/realme-narzo-80-lite-beach-gold-64-gb/p/itmda40eecbc001f
Flipkart,electronics,"Ai+ Pulse 2 (Purple, 128 GB)",8850.0,15499.0,25.0,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-purple-128-gb/p/itm873a9bcc8fb43
Flipkart,electronics,"Ai+ Pulse 2 (Purple, 64 GB)",8850.0,10999.0,19.5,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1
Flipkart,electronics,"Ai+ Nova 2 5G (Blue, 64 GB)",11750.0,13999.0,16.1,4.3,6556,352,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-blue-64-gb/p/itm20a7387042b2c
Flipkart,electronics,"Ai+ Nova 2 5G (Black, 64 GB)",11750.0,13999.0,16.1,4.3,6556,352,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-black-64-gb/p/itme6e69f9ec9956
Flipkart,electronics,"vivo T5e (Aero Blue, 64 GB)",11750.0,26999.0,48.0,3.7,89,6,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/vivo-t5e-aero-blue-64-gb/p/itm180ca0a991a2b
Flipkart,electronics,"Ai+ Pulse 2 (Blue, 64 GB)",8850.0,10999.0,19.5,4.1,11928,829,,Third-party,,3,False,False,,0,,False,False,,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-blue-64-gb/p/itm9168504534079
Flipkart,electronics,"realme P3x 5G (Midnight Blue, 128 GB)",11750.0,17999.0,22.0,4.3,21556,1173,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/realme-p3x-5g-midnight-blue-128-gb/p/itmab5a4b09b6ccc
Flipkart,electronics,"Samsung Galaxy A06 (Black, 64 GB)",12600.0,14999.0,2.0,4.0,897,59,,Third-party,,3,False,False,,0,,False,False,,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-a06-black-64-gb/p/itmdba53c91272f1
Flipkart,electronics,"Ai+ Nova 2 5G (Purple, 64 GB)",11750.0,13999.0,16.1,4.3,6556,352,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-nova-2-5g-purple-64-gb/p/itm07c0f38f44c5c
Flipkart,electronics,"LAVA Virat V1 5G (Sonar Gold, 64 GB)",9750.0,15999.0,15.0,4.0,704,92,,Third-party,,3,False,False,,0,,False,False,,7 days replacement,True,https://www.flipkart.com/lava-virat-v1-5g-sonar-gold-64-gb/p/itm3ccc431ccf8aa
Flipkart,electronics,"Samsung Galaxy M17 5G (Sapphire Black, 128 GB)",15100.0,18799.0,4.0,4.1,4784,424,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-m17-5g-sapphire-black-128-gb/p/itmc3b8f7b511eca
Flipkart,electronics,"Ai+ Pulse 2 (Pink, 64 GB)",8850.0,10999.0,19.5,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-pink-64-gb/p/itmb3d9ab3459289
Flipkart,electronics,"Ai+ Pulse 2 (Pink, 128 GB)",8850.0,15499.0,25.0,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-pink-128-gb/p/itm982c299d0417e
Flipkart,electronics,"realme 14x 5G (Crystal Black, 128 GB)",12600.0,16999.0,11.0,4.3,12430,678,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/realme-14x-5g-crystal-black-128-gb/p/itmb45ae2fd70ae9
Flipkart,electronics,"Ai+ Pulse 2 (Purple, 128 GB)",8850.0,15499.0,25.0,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-purple-128-gb/p/itm873a9bcc8fb43
Flipkart,electronics,"realme C71 (Obsidian Black, 64 GB)",11750.0,13999.0,16.1,4.2,1584,76,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/realme-c71-obsidian-black-64-gb/p/itm920c5c8761871
Flipkart,electronics,"REDMI A7 Pro 5G (Mist Blue, 64 GB)",12600.0,26999.0,46.0,4.0,3743,315,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/redmi-a7-pro-5g-mist-blue-64-gb/p/itm88c66032a6b5e
Flipkart,electronics,"POCO C85x (Elite Black, 64 GB)",11750.0,20999.0,30.0,4.1,6732,834,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/poco-c85x-elite-black-64-gb/p/itm0f0a9684d1e33
Flipkart,electronics,Vivo T4 Lite 5G (Prism Blue 2026) ( 4GB 64GB),12600.0,27999.0,39.0,4.3,43508,1964,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/vivo-t4-lite-5g-prism-blue-2026-4gb-64gb/p/itm49fb53d099f3c
Flipkart,electronics,"LAVA Virat V1 5G (Arya Blue, 128 GB)",11750.0,17499.0,17.0,4.0,704,92,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/lava-virat-v1-5g-arya-blue-128-gb/p/itm11c9a497c9644
Flipkart,electronics,"Ai+ Pulse 2 (Blue, 128 GB)",8850.0,15499.0,25.0,4.1,11928,829,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/ai-pulse-2-blue-128-gb/p/itm982c299d0417e
Flipkart,electronics,"realme Narzo 80 Lite (Beach Gold, 64 GB)",9700.0,16999.0,21.0,4.2,3338,177,,Third-party,,3,False,False,,0,Only Few Left,True,False,,7 days replacement,True,https://www.flipkart.com/realme-narzo-80-lite-beach-gold-64-gb/p/itmda40eecbc001f
Flipkart,electronics,"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)",11750.0,17499.0,20.0,4.2,10434,813,,Third-party,,3,False,False,,0,,False,True,Bank/Coupon Offer Available,7 days replacement,True,https://www.flipkart.com/samsung-galaxy-f16-5g-vibing-blue-128-gb/p/itmc59882b14985a
