platform,category,product_name,selling_price,original_price,discount_percentage,rating,rating_count,review_count,seller_name,seller_type,delivery_info,delivery_days,free_delivery,is_sponsored,promotional_badges,promotional_badge_count,scarcity_message,has_scarcity_message,has_coupon,coupon_text,return_policy,has_return_policy,product_url
Snapdeal,electronics,"Neo - 3D HD Magnifier Phone Mobile Holder Screen Expanders for Movies, Videos, and Gaming with Foldable Phone Stand and Screen Amplifier - Compatible with All Smartphones",280.0,999.0,72.0,4.2,74,14,,Third-party,Free Delivery,3,True,False,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/nbox-transparent-active-3d-glasses/686764495292
Snapdeal,electronics,67W Fast Charger for MI Xiomi Redmi & other Type C Smartphones Rapid Charging with Qualcomm Quick Charge 3.0 SuperVOOC includes USB Type-C 6A Cable,326.0,1999.0,84.0,3.8,153,30,,Third-party,Free Delivery,3,True,False,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/avista-usb-54a-wall-charger/650721089424
Snapdeal,electronics,"Hybite Premium Selfie Stick, Blue tooth Extendable Selfie Stick Tri pod with Led Light Wireless Remote and Portable Tri pod Stand Compatible for All iPhone and Android Smartphone",231.0,999.0,77.0,4.0,144,28,,Third-party,Free Delivery,3,True,False,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/hybite-premium-selfie-stick-blue/635726749975
Snapdeal,electronics,Shop To Shop Bluetooth Selfie Flash Light ( Black ),282.0,999.0,72.0,4.1,48,9,,Third-party,Free Delivery,3,True,False,Great Offer; Flash Sale,2,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/shop-to-shop-bluetooth-selfie/680524288266
Snapdeal,electronics,"Waterproof Mobile Pouch Cover for All Mobiles, Cellphone Dry Bag Compatible for iPhone, Samsung, Mi, Redmi, Oppo, VIVO, All Other Smartphones up to 6.5 inches",187.0,499.0,63.0,4.3,125,25,,Third-party,Free Delivery,3,True,False,,0,,False,False,,7 days return,True,https://www.snapdeal.com/product/waterproof-mobile-pouch-cover-for/674889047655
Snapdeal,electronics,"Radhe Creation Silicone Suction Cup Phone Case for All Smartphones – Strong Grip Anti-Slip Phone Holder Case – Reusable Suction Sticker Black Case for Car, Desk, Mirror & Wall (R blue- 1Pack)",119.0,299.0,60.0,5.0,147,29,,Third-party,Free Delivery,3,True,True,,0,,False,False,,7 days return,True,https://www.snapdeal.com/product/radhe-creation-silicone-suction-cup/621799848534
Snapdeal,electronics,THRIFTKART Card Holder Connectors for Smartphones and Tablets ( Black ),176.0,999.0,82.0,4.0,242,48,,Third-party,Free Delivery,3,True,False,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/thriftkart-card-holder-connectors-for/648832160858
Snapdeal,electronics,"Universal Bike Mobile Stand Metal Body 360 Degree Rotating | Mirror Cradle Stand Full Metal Body Bike & Scooty Mobile Holder Stand for Bicycle, Motorcycle, Scooty with All Smartphones",160.0,499.0,68.0,4.2,74,14,,Third-party,Free Delivery,3,True,True,Great Offer,1,,False,False,,7 days return,True,https://www.snapdeal.com/product/universal-bike-mobile-stand-metal/626318451891
Snapdeal,electronics,"Hybite Premium Selfie Stick, Blue tooth Extendable Selfie Stick Tri pod with Led Light Wireless Remote and Portable Tri pod Stand Compatible for All iPhone and Android Smartphone",239.0,999.0,76.0,4.1,129,25,,Third-party,Free Delivery,3,True,False,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/hybite-premium-selfie-stick-blue/638464915190
Snapdeal,electronics,Mobile Phone Stand 360° Rotation Height and Angle Adjustable Cell Phone Stand for Desk Office Foldable Desktop Phone Holder for Smartphone,163.0,899.0,82.0,3.8,213,42,,Third-party,Free Delivery,3,True,True,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/mobile-phone-stand-360-rotation/677528065636
Snapdeal,electronics,"85W Fast Charger with 3-in-1 Charging Cable | Type-C, Micro USB & Lightning | Universal Quick Charging Adapter for Laptop, Smartphone, Tablet | Travel-Friendly Power Delivery Charger",397.0,999.0,60.0,4.1,90,18,,Third-party,Free Delivery,3,True,True,,0,,False,False,,7 days return,True,https://www.snapdeal.com/product/85w-fast-charger-with-3in1/621983231422
Snapdeal,electronics,"Hybite Premium Selfie Stick, Blue tooth Extendable Selfie Stick Tr ip od with Led Light Wireless Remote and Portable Tri pod Stand Compatible for All iPhone and Android Smartphone",239.0,999.0,76.0,4.3,168,33,,Third-party,Free Delivery,3,True,False,Great Offer,1,Limited Period Offer,True,False,,7 days return,True,https://www.snapdeal.com/product/hybite-premium-selfie-stick-blue/659137478056
Snapdeal,electronics,Bike Phone Mount Waterproof Cell Phone Holder 360 Rotation Motorcycle Smartphone Case Universal Bicycle Handlebar Sensitive Touch Screen Fit Below 4-7.2 Inches Smartphone,276.0,799.0,65.0,3.7,147,29,,Third-party,Free Delivery,3,True,False,Great Offer,1,,False,False,,7 days return,True,https://www.snapdeal.com/product/bike-phone-mount-waterproof-cell/650626329513
Snapdeal,electronics,Bike Phone Mount Waterproof Cell Phone Holder 360 Rotation Motorcycle Smartphone Case Universal Bicycle Handlebar Sensitive Touch Screen Fit Below 4-7.2 Inches Smartphone,276.0,799.0,65.0,3.5,166,33,,Third-party,Free Delivery,3,True,False,Great Offer,1,,False,False,,7 days return,True,https://www.snapdeal.com/product/bike-phone-mount-waterproof-cell/654552283598
Snapdeal,electronics,"Foldable and Portable Tabletop Mobile Stand with Stable Base,Height and View Angle Adjustable Phone Stand,Ideal Mobile Holder for Smartphones,Tablets, Kindles",193.0,599.0,68.0,4.1,92,18,,Third-party,Free Delivery,3,True,True,Great Offer,1,,False,False,,7 days return,True,https://www.snapdeal.com/product/foldable-and-portable-tabletop-mobile/638022519497
